2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
1877.7079917505653,1880.3896830503995,1888.9581187491483,1896.372115830084,1909.8353568005336,1917.3424729946944,1922.4652830339635,1921.506325322532,1915.0240476499653,1905.3873330318213,1891.821066158657,1886.504077090892,1887.413012768996,1893.46348901969,1904.459092155192
1392.1477520756123,1391.7091125977142,1399.1179929058594,1409.8782732125992,1414.17921392645,1417.9379526472426,1420.4290613402347,1424.0720359004354,1415.0599119895207,1402.408525967295,1394.1471325002012,1404.3778113491396,1422.4485461203844,1430.3866997612668,1436.9475415330808
1638.388964064985,1647.7883114509402,1667.1087482877251,1681.6879354364262,1701.0205359212016,1722.6259446652768,1735.9917281358082,1746.15820269674,1756.677339017284,1773.7945562131483,1783.2027754510077,1780.259839677937,1775.1152349589072,1772.0079685263188,1777.676192019433
1461.9587904908822,1468.9725795074407,1491.854089815515,1494.0352774338205,1500.2801024859857,1510.3599577147795,1526.0259469642374,1538.5802287992865,1543.5043222672057,1544.7072495756502,1543.206210239714,1541.414612061753,1539.7801169696604,1541.724053504115,1540.7086406428016
1303.4852225060488,1310.0173818286466,1325.7684646832824,1338.71082275029,1344.4695712861094,1340.726383817527,1337.5822539602632,1334.5401578809804,1333.795345248216,1334.8441671388075,1331.8960677129724,1342.7649731285612,1351.8442964223188,1358.8800033343205,1365.0149024024024
1128.200041454523,1138.9116703582454,1148.0863526556554,1178.9412664810577,1191.365766252011,1201.8518876043545,1187.4596626188727,1193.3861958440027,1205.0519891446636,1194.532375029661,1203.5557879866526,1196.1140676977668,1213.5990176884782,1213.1210635557015,1228.2281144781143
1164.965258803924,1167.1020341873286,1173.8138693975238,1171.5443750790612,1158.4321512154645,1180.5034279017934,1209.311214510566,1242.9221913428687,1247.8406507995462,1218.4748435774234,1219.855986087797,1222.8940302719109,1238.6166661114205,1238.8138220826302,1241.362745098039
1176.1425067623109,1197.4261901519417,1209.8073008629474,1217.5364625053455,1216.4582249744622,1228.7187486705366,1259.6665467661185,1249.7587953998554,1281.5227468094631,1264.240010886628,1287.3572156553232,1269.0181409282516,1260.7428380478411,1265.8322238488304,1287.5947293447296
,,,,,1068.0293423003884,1029.4488528905106,1034.0730891975857,1074.6097202180367,1110.237905107671,1097.612641304859,1140.8472141073914,1157.8090022158744,1155.6947614545888,1137.5833333333333
1353.2013930089784,1359.0372077706395,1359.1468658996537,1377.7007546405289,1369.5088579606447,1368.556141678352,1363.1366421480063,1390.5498361934874,1396.8853530920792,1408.2028837755734,1393.9535546290351,1397.616408385101,1410.6720296795334,1415.553014277324,1410.7777777777776
1144.8580639633938,1161.241018194209,1195.362446385697,1217.5645604639465,1244.4768451640664,1233.480592109265,1230.5161264546111,1245.990441578245,1238.6083148418102,1224.7034846598217,1222.039092629136,1247.0361245661657,1273.6260695919757,1229.338071154339,1213.1448412698412
1404.658734088568,1392.845828819942,1399.3473022504772,1412.0788687646318,1440.5285349263245,1441.8736810844855,1480.8256880158508,1506.2956820113684,1538.0588133301326,1516.0069345389425,1517.225538681431,1517.492543066468,1519.3371783861965,1487.807431091085,1505.0
,,,,,,1819.6697425513687,1924.776444576573,1892.167238205298,1857.8023350033368,1865.8031552565249,1924.220403156868,1965.5189020834007,1922.3171707835745,1849.1984126984128
,,,,,,,,,1012.0047479034536,1026.0888426020776,1058.2766064900052,1052.0737889551338,1048.628295885525,1027.7777777777778
,,,,,,,,1848.0696531861483,1858.1532397109584,1907.9269098545085,1898.1945726673168,1847.9220097013024,1808.3777675702845,1800.0
,,,,,,,,,,,,,1011.3358347353188,987.5
,,,,,,,,,,,576.4623089499163,598.1745546750318,608.0261114241856,620.8333333333334
