2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
2096.7809738855963,2103.78452432453,2120.0694438901314,2133.0579410386704,2150.71692691874,2165.100053982708,2180.7957052021734,2188.19685073383,2186.03334222708,2176.9615452716166,2163.325284486849,2156.494461854625,2161.14032731218,2173.9685127214307,2193.73452344798
1459.8765658114012,1453.7307321304788,1463.162456329579,1473.597060206914,1494.011264067139,1493.98521412258,1498.3464359543011,1498.337866734062,1505.6132588360151,1510.756667354195,1502.980635373888,1501.228684742434,1497.539175886543,1504.1148499876738,1511.3342190016103
1591.974468359585,1629.627300370658,1651.8096201331866,1659.895368392785,1663.856022461361,1661.7186945841174,1667.974868862406,1659.6466592632178,1668.6890253889728,1676.6248692431286,1676.956511154288,1658.8883137692444,1671.29332158446,1682.117989757838,1699.7338217338215
1931.9851640747104,1940.850608871164,1962.5468552457853,1986.8955814221788,2004.2490756446923,2014.1488776866229,2025.1889245797631,2028.98965926844,2025.2690984331828,2032.9855906351647,2024.5425066342289,2028.2036224832648,2035.2405202813468,2044.598709321101,2054.616097865046
1863.443315524314,1857.299284074362,1859.653817692873,1846.388614918832,1867.1758952221487,1901.4262826337977,1935.997840596426,1944.5851870005704,1945.9573325249369,1940.018037253563,1931.6049479810777,1924.100492871289,1919.9844764078496,1929.1231713676927,1949.3798864306327
1252.666295123816,1255.3921192757305,1251.7280744545037,1237.1705682407894,1247.6683376834594,1273.1350331904443,1293.938290113244,1310.8738086555095,1328.132891157736,1320.492225145581,1328.1797131600413,1302.8934950854923,1310.445755157056,1296.7567998350455,1297.4877344877343
1806.582590545684,1810.3185461929968,1850.327787640991,1859.6072353127952,1879.0050555945472,1869.7594060966776,1881.1435302759485,1882.532209815815,1885.7353664954724,1885.0287745289304,1895.497387840216,1889.2494954528715,1894.8756603449349,1888.584327878492,1914.6829924960373
1963.0674754438191,1957.771937684109,1964.6710596489424,1958.59547765198,1992.990732415942,2015.8015276639512,2039.927188006726,2029.0373404854583,2007.40911354645,1978.6024884323176,1982.707037565776,2021.1139569273407,2058.802779172277,2079.032471766493,2062.190476190476
1686.2710865419183,1687.1170535028248,1675.9146882202906,1670.1609416182537,1661.059047344228,1677.052055565998,1691.4701112617856,1704.9341511003263,1722.3583560950303,1746.053523249685,1733.11025259571,1724.312922245657,1696.6424490027737,1727.8880510036065,1740.5673076923076
1217.0364359741288,1233.3863157282062,1248.406788546025,1246.9128453522314,1280.863207263954,1295.2642505622248,1291.7705080729909,1259.9562322694069,1238.2065201464193,1238.853484138985,1244.1563107010072,1268.6465079856594,1263.1310254495208,1267.9515420636578,1251.1976911976913
1490.717913795176,1490.3177404116625,1530.8223953713634,1557.687279316918,1583.948059451223,1578.091982505632,1569.8972399656177,1561.882178603443,1579.4151015649627,1576.704448445625,1574.6346595182831,1583.4907827667475,1600.5218908321606,1604.2768370949918,1599.648148148148
1596.8237245391774,1606.9343554582165,1638.7392030423864,1669.412823546664,1692.6041535667912,1720.805275682362,1715.8562449587848,1724.3721386199747,1696.7713895117945,1766.1567013731835,1761.7307130178883,1780.9811230800726,1736.7641757653714,1726.9345349218322,1724.1666666666667
,,,,1275.807167582509,1261.9952813169991,1264.9946612933156,1246.478486968488,1230.1319867239083,1244.6092046169392,1289.4603340028273,1303.3170143306345,1300.2879485574265,1292.3837580650704,1299.611111111111
,,,1680.4429573717282,1717.6681408440948,1743.1651030824385,1763.376906276101,1731.1786246819845,1758.257827525255,1779.2565740807802,1779.868416861363,1748.5766982635737,1714.2797913227637,1791.2739818574464,1839.4666666666665
1319.0772214249494,1347.744317837871,1331.257852384382,1312.5668465572796,1295.032106774563,1316.7900779781212,1320.7125103503652,1337.8569564644347,1359.6627857956346,1374.850873354215,1348.097505768176,1330.0966530357753,1320.0751023574571,1347.3040154949176,1384.25
,,,,,,,,,,,,,,1740.375
,1384.0641761937964,1378.937390860304,1406.7338749174237,1399.6159784157762,1396.5971459882578,1392.9821690301894,1408.6093794125256,1411.3139082470705,1430.8520725331675,1440.6477798185592,1440.6149610221653,1449.4758925550557,1434.8577443823622,1443.1712962962963
1455.303877982229,1486.3055739418453,1492.1555129271774,1486.7616978174997,1486.4621791815568,1471.068049872657,1456.2770030373329,,1455.9662168020154,1498.855035489057,1470.207191761131,1494.6385467843131,1466.333162232173,1504.6022396252026,1531.613003095975
1469.9541963401714,1510.4422572501298,1485.947440321204,1501.910581720329,1503.310251461703,1527.216408624165,1542.1082022040357,1542.0979014670013,1506.0233482511674,1468.9679624359064,1447.4431673297984,1446.9362297229602,1499.602404025445,1538.5204527953797,1580.888888888889
